Gmina	Frekwencja	Andrzej Sebastian DUDA	Rafał Kazimierz TRZASKOWSKI
Prusice	65.41	60.68	39.32
Izbica Kujawska	61.59	71.55	28.45
Urzędów	66.63	77.86	22.14
Chełm	62.99	53.29	46.71
Lutomiersk	71.55	50.93	49.07
Piotrków Trybunalski	69.39	51.02	48.98
Alwernia	71.00	59.84	40.16
Wierzchosławice	68.09	69.49	30.51
Legionowo	75.56	42.48	57.52
Andrzejewo	74.71	86.41	13.59
Małkinia Górna	69.92	76.76	23.24
Lesznowola	82.17	35.47	64.53
Brzeg	64.20	47.82	52.18
Praszka	68.93	54.39	45.61
Niemodlin	59.76	54.73	45.27
Gorzyce	63.42	69.24	30.76
Łomża	66.82	71.60	28.40
Zambrów	67.30	75.18	24.82
Kartuzy	71.56	51.40	48.60
Sierakowice	75.68	71.59	28.41
Osieczna	67.44	68.04	31.96
Pietrowice Wielkie	54.01	55.15	44.85
Skarżysko-Kamienna	65.68	51.56	48.44
Iłowo-Osada	60.73	63.07	36.93
Janowo	58.45	66.26	33.74
Jeziorany	54.28	54.68	45.32
Blizanów	65.52	61.50	38.50
Sulmierzyce	65.94	58.97	41.03
Grabów nad Prosną	64.34	59.65	40.35
Mosina	75.15	37.63	62.37
Władysławów	72.14	78.44	21.56
Gościno	58.25	46.74	53.26
Dzierżoniów	65.54	45.30	54.70
Skrwilno	62.62	71.62	28.38
Biłgoraj	65.01	79.44	20.56
Żmudź	56.72	73.57	26.43
Kraśniczyn	58.66	72.25	27.75
Ostrówek	64.94	81.55	18.45
Trzciel	62.48	44.24	55.76
Pajęczno	67.12	63.30	36.70
Skierniewice	70.14	68.43	31.57
Borzęcin	61.18	77.67	22.33
Dobra	67.01	76.17	23.83
Łukowica	72.94	85.22	14.78
Krasnosielc	62.79	75.00	25.00
Olszewo-Borki	67.30	71.51	28.49
Izabelin	77.80	45.72	54.28
Praga-Północ	70.39	40.52	59.48
Wasilków	68.02	52.17	47.83
Sejny	59.32	55.08	44.92
Lębork	67.40	39.58	60.42
Strumień	70.51	59.19	40.81
Świerklany	71.41	67.66	32.34
Kroczyce	71.33	59.85	40.15
Węgierska Górka	69.02	68.33	31.67
Mysłowice	67.26	49.62	50.38
Bodzechów	61.72	63.08	36.92
Górowo Iławeckie	47.98	49.04	50.96
Orneta	56.35	50.58	49.42
Sorkwity	63.30	47.38	52.62
Chodzież	70.04	32.95	67.05
Jarocin	66.43	50.73	49.27
Osiek Mały	65.36	76.16	23.84
Kórnik	76.84	32.23	67.77
Nowe Warpno	65.87	35.05	64.95
Stara Kamienica	60.51	40.33	59.67
Lipno	57.24	62.97	37.03
Chełmża	61.18	46.61	53.39
Obrowo	70.65	46.88	53.12
Żnin	63.41	53.10	46.90
Zalesie	59.52	70.50	29.50
Modliborzyce	65.70	81.96	18.04
Tarnawatka	63.22	84.35	15.65
Łask	68.32	52.61	47.39
Poddębice	66.61	56.51	43.49
Wartkowice	63.14	72.36	27.64
Sadkowice	64.68	80.67	19.33
Będków	73.28	74.86	25.14
Rokiciny	71.35	65.50	34.50
Babice	69.72	59.57	40.43
Świątniki Górne	72.19	60.27	39.73
Kamienica	71.09	82.86	17.14
Łącko	71.17	83.36	16.64
Wiśniewo	64.35	73.15	26.85
Czosnów	73.55	49.54	50.46
Pokrzywnica	69.18	72.20	27.80
Sokołów Podlaski	69.84	60.72	39.28
Ożarów Mazowiecki	75.18	46.83	53.17
Wołomin	73.69	56.30	43.70
Zwoleń	68.37	69.65	30.35
Ursus	78.87	37.59	62.41
Włochy	78.27	33.83	66.17
Walce	49.39	43.34	56.66
Komprachcice	54.83	37.26	62.74
Turawa	55.20	37.81	62.19
Pilzno	70.34	83.88	16.12
Łańcut	70.03	62.02	37.98
Boguchwała	72.38	70.87	29.13
Zaklików	62.40	73.51	26.49
Wielowieś	53.52	61.07	38.93
Racibórz	61.40	46.83	53.17
Bieruń	67.94	60.82	39.18
Daleszyce	70.31	70.27	29.73
Fałków	67.74	80.16	19.84
Bartoszyce	55.42	58.12	41.88
Kalinowo	51.25	65.26	34.74
Olsztynek	62.52	44.84	55.16
Paszowice	61.57	57.65	42.35
Międzylesie	62.02	48.81	51.19
Długołęka	77.36	41.62	58.38
Radzyń Chełmiński	56.47	60.88	39.12
Pakość	61.55	50.74	49.26
Lipno	59.03	47.72	52.28
Nakło nad Notecią	64.55	45.61	54.39
Osie	62.92	48.54	51.46
Janów Podlaski	61.81	65.58	34.42
Małomice	58.93	49.66	50.34
Oporów	70.23	78.43	21.57
Biała	65.28	71.93	28.07
Czastary	62.24	69.29	30.71
Stary Sącz	71.42	77.45	22.55
Brzeźnica	69.50	63.45	36.55
Wilga	72.58	63.06	36.94
Żabia Wola	75.14	48.79	51.21
Nur	77.98	80.71	19.29
Mała Wieś	63.65	75.12	24.88
Przasnysz	67.91	57.81	42.19
Potworów	69.26	85.05	14.95
Świercze	64.90	69.46	30.54
Pionki	66.90	73.88	26.12
Siedlce	71.89	70.59	29.41
Sokołów Podlaski	69.71	77.60	22.40
Łomianki	79.34	38.18	61.82
Siemiątkowo	65.13	81.89	18.11
Popielów	53.14	44.71	55.29
Radomyśl Wielki	66.00	81.38	18.62
Medyka	63.25	76.19	23.81
Tarnobrzeg	65.04	51.79	48.21
Radziłów	57.61	86.98	13.02
Czyżew	69.91	82.18	17.82
Debrzno	54.66	48.23	51.77
Damnica	57.16	53.36	46.64
Wejherowo	70.18	47.76	52.24
Siewierz	69.85	53.37	46.63
Lubomia	62.45	67.27	32.73
Mszana	74.08	74.54	25.46
Bielsko-Biała	71.02	43.84	56.16
Chorzów	62.87	39.76	60.24
Strawczyn	70.03	77.45	22.55
Łubnice	66.90	82.84	17.16
Młynary	58.88	51.98	48.02
Koźminek	65.29	70.08	29.92
Golina	66.96	63.04	36.96
Kuślin	64.60	54.54	45.46
Dopiewo	80.83	27.60	72.40
Śrem	68.97	44.10	55.90
Kowary	61.61	38.56	61.44
Podgórzyn	66.52	35.65	64.35
Miękinia	71.28	42.85	57.15
Złotoryja	63.85	55.50	44.50
Turobin	71.21	85.01	14.99
Krasnystaw	63.01	56.48	43.52
Żyrzyn	68.91	76.51	23.49
Radzyń Podlaski	63.98	78.17	21.83
Krasnobród	70.99	77.81	22.19
Bojadła	58.17	48.23	51.77
Szlichtyngowa	63.58	65.96	34.04
Andrespol	73.42	47.49	52.51
Brzeźnio	66.09	67.72	32.28
Rzeczyca	71.59	80.06	19.94
Liszki	74.17	65.78	34.22
Oświęcim	69.26	45.88	54.12
Jordanów	68.24	62.14	37.86
Mucharz	72.24	63.95	36.05
Belsk Duży	70.42	67.56	32.44
Jabłonna	77.66	38.28	61.72
Brochów	68.19	69.82	30.18
Jabłonna Lacka	71.00	79.98	20.02
Korytnica	69.33	81.53	18.47
Puszcza Mariańska	68.55	61.96	38.04
Praga-Południe	76.92	33.20	66.80
Kędzierzyn-Koźle	62.31	39.65	60.35
Jasienica Rosielna	76.71	87.38	12.62
Żyraków	70.56	80.86	19.14
Nowa Sarzyna	66.51	85.07	14.93
Chmielnik	71.62	76.77	23.23
Frysztak	63.14	79.46	20.54
Chmielno	71.09	57.19	42.81
Skarszewy	61.86	57.76	42.24
Kłomnice	67.06	62.03	37.97
Knurów	66.43	52.10	47.90
Herby	65.65	51.44	48.56
Myszków	65.95	52.81	47.19
Gaszowice	66.72	57.64	42.36
Piekary Śląskie	65.55	52.60	47.40
Ruda Śląska	63.74	51.14	48.86
Świętochłowice	59.72	46.80	53.20
Klimontów	62.43	74.31	25.69
Pawłów	65.01	81.13	18.87
Stare Juchy	57.24	47.50	52.50
Nowe Miasto Lubawskie	63.13	48.71	51.29
Dobre Miasto	58.94	48.84	51.16
Jedwabno	66.84	44.49	55.51
Grzegorzew	65.22	75.82	24.18
Kleczew	67.01	69.94	30.06
Swarzędz	76.33	32.00	68.00
Recz	54.57	55.56	44.44
Pyrzyce	63.95	54.57	45.43
Wałcz	58.83	45.51	54.49
Miłkowice	68.07	54.50	45.50
Środa Śląska	64.88	51.55	48.45
Pielgrzymka	59.43	56.33	43.67
Zakrzewo	60.55	60.50	39.50
Kamień	58.00	71.51	28.49
Łęczna	68.46	66.59	33.41
Piaski	66.10	71.47	28.53
Sitno	64.90	82.13	17.87
Lublin	69.36	48.76	51.24
Nowa Sól	64.18	47.34	52.66
Zelów	68.21	71.24	28.76
Łęczyca	66.20	46.25	53.75
Goszczanów	66.37	77.94	22.06
Lututów	67.13	71.49	28.51
Chrzanów	68.07	44.91	55.09
Żabno	62.13	73.50	26.50
Gdów	71.69	68.96	31.04
Sypniewo	70.25	78.96	21.04
Bielsk	65.11	72.81	27.19
Jedlińsk	70.19	77.33	22.67
Dąbrówka	77.96	75.58	24.42
Kazanów	69.92	79.96	20.04
Lubowidz	65.06	69.23	30.77
Bielany	77.23	35.56	64.44
Ochota	75.15	30.86	69.14
Rembertów	78.04	38.10	61.90
Wilków	60.72	57.30	42.70
Otmuchów	62.55	61.41	38.59
Kamień	68.34	88.51	11.49
Krasne	73.37	66.99	33.01
Giby	68.45	52.63	47.37
Miłoradz	60.20	53.68	46.32
Pszczyna	72.63	54.83	45.17
Gliwice	68.39	39.07	60.93
Raków	66.51	75.38	24.62
Piecki	62.11	50.09	49.91
Stawiguda	76.58	27.85	72.15
Miłakowo	53.41	54.26	45.74
Orzysz	60.03	51.06	48.94
Przygodzice	69.57	57.01	42.99
Wolsztyn	71.10	41.67	58.33
Leszno	71.01	33.90	66.10
Police	66.76	42.76	57.24
Ząbkowice Śląskie	63.52	50.37	49.63
Stolno	60.29	56.80	43.20
Bukowiec	59.83	63.31	36.69
Firlej	64.22	74.38	25.62
Poniatowa	66.78	68.66	31.34
Chąśno	66.01	78.29	21.71
Brójce	74.87	59.61	40.39
Biała Rawska	65.96	72.52	27.48
Sieradz	69.84	50.92	49.08
Pcim	74.55	77.12	22.88
Stryszawa	71.10	69.98	30.02
Stryszów	69.62	66.19	33.81
Pniewy	69.37	63.38	36.62
Zawidz	66.13	76.18	23.82
Liw	69.51	73.29	26.71
Miedzna	71.77	76.82	23.18
Żoliborz	80.17	28.32	71.68
Olszanka	65.74	64.35	35.65
Opole	69.54	32.00	68.00
Raniżów	66.64	84.68	15.32
Dukla	65.14	75.07	24.93
Orły	66.13	78.00	22.00
Ropczyce	69.04	78.02	21.98
Stalowa Wola	63.18	61.20	38.80
Jedwabne	66.80	86.17	13.83
Suchowola	58.95	75.70	24.30
Malbork	60.05	39.83	60.17
Czeladź	67.48	38.53	61.47
Dębowiec	68.57	46.96	53.04
Przyrów	64.96	68.65	31.35
Pszów	64.09	60.89	39.11
Zabrze	57.13	44.82	55.18
Masłów	72.15	61.31	38.69
Sandomierz	65.46	49.21	50.79
Jonkowo	63.78	35.14	64.86
Ostróda	61.19	47.88	52.12
Kłecko	67.64	58.61	41.39
Trzemeszno	61.46	53.57	46.43
Chodów	62.64	76.07	23.93
Manowo	69.06	38.15	61.85
Dzierżoniów	65.30	58.48	41.52
Nowa Ruda	60.15	48.05	51.95
Wojcieszów	60.27	44.88	55.12
Jabłonna	64.11	72.66	27.34
Serokomla	65.64	83.89	16.11
Wohyń	60.90	75.18	24.82
Tyszowce	61.14	81.18	18.82
Pszczew	66.44	44.75	55.25
Górzyca	60.91	49.92	50.08
Domaniewice	68.67	75.57	24.43
Dłutów	72.64	62.27	37.73
Rząśnia	71.67	78.42	21.58
Bochnia	71.48	55.55	44.45
Laskowa	78.82	87.78	12.22
Sucha Beskidzka	67.85	51.54	48.46
Biskupice	74.01	66.78	33.22
Kłaj	71.93	57.95	42.05
Niepołomice	73.74	54.38	45.62
Wieliczka	71.74	51.60	48.40
Goszczyn	75.30	80.39	19.61
Myszyniec	63.38	80.39	19.61
Nowy Duninów	67.21	67.83	32.17
Michałowice	83.66	35.39	64.61
Jednorożec	59.74	75.53	24.47
Wodynie	69.96	84.78	15.22
Długosiodło	68.21	74.38	25.62
Dębica	69.32	62.11	37.89
Trzebownisko	72.09	71.60	28.40
Besko	63.54	78.12	21.88
Dąbrowa Białostocka	58.06	71.34	28.66
Lichnowy	54.27	50.29	49.71
Bobowo	62.60	69.56	30.44
Gierałtowice	70.83	53.38	46.62
Siemianowice Śląskie	65.89	41.38	58.62
Frombork	58.08	41.56	58.44
Giżycko	69.73	36.35	63.65
Biesiekierz	67.99	35.89	64.11
Kotla	61.15	62.24	37.76
Radków	61.43	50.89	49.11
Dobroszyce	66.87	54.38	45.62
Wrocław	73.59	33.38	66.62
Mrocza	59.81	56.55	43.45
Baruchowo	65.28	60.47	39.53
Trawniki	59.64	75.87	24.13
Zamość	66.20	66.77	33.23
Bledzew	62.20	47.55	52.45
Szczerców	72.09	72.50	27.50
Łęczyca	65.24	70.98	29.02
Rzgów	77.49	53.58	46.42
Przedbórz	67.34	71.24	28.76
Brąszewice	68.14	82.99	17.01
Libiąż	70.10	56.58	43.42
Bobowa	68.54	83.08	16.92
Limanowa	71.21	68.01	31.99
Tarnów	69.60	66.50	33.50
Milanówek	77.98	40.35	59.65
Głowaczów	73.61	79.37	20.63
Naruszewo	61.27	76.12	23.88
Załuski	63.24	71.02	28.98
Kobyłka	76.25	51.76	48.24
Jemielnica	47.51	56.32	43.68
Jasło	68.84	78.87	21.13
Stary Dzików	62.71	81.74	18.26
Głogów Małopolski	71.75	72.88	27.12
Hajnówka	55.35	40.33	59.67
Perlejewo	58.99	81.75	18.25
Parchowo	75.77	62.41	37.59
Trzebielino	54.55	48.52	51.48
Łaziska Górne	67.72	49.39	50.61
Miedźna	71.22	69.48	30.52
Lędziny	67.38	67.14	32.86
Rydułtowy	63.84	56.09	43.91
Bytom	60.35	45.88	54.12
Żory	67.63	52.17	47.83
Ełk	58.15	47.01	52.99
Szczytno	64.18	52.58	47.42
Kazimierz Biskupi	67.62	61.29	38.71
Nowe Miasto nad Wartą	64.38	58.60	41.40
Tychowo	57.74	47.78	52.22
Wleń	62.06	48.64	51.36
Czernica	80.43	37.64	62.36
Puławy	68.57	66.19	33.81
Lubycza Królewska	52.60	70.59	29.41
Biała Podlaska	66.31	56.23	43.77
Witnica	61.18	45.79	54.21
Maszewo	59.49	53.94	46.06
Drużbice	68.57	75.43	24.57
Tuszyn	70.61	55.59	44.41
Moszczenica	69.82	72.34	27.66
Wolbórz	73.71	67.23	32.77
Skawina	70.60	56.64	43.36
Słomniki	68.36	71.35	28.65
Racławice	63.95	79.57	20.43
Wiśniowa	76.69	83.21	16.79
Andrychów	70.35	60.23	39.77
Kraków	73.77	38.53	61.47
Nowy Sącz	69.43	59.91	40.09
Opinogóra Górna	64.79	74.38	25.62
Otwock	73.83	48.21	51.79
Góra Kalwaria	73.50	52.60	47.40
Wyszogród	63.59	68.64	31.36
Pionki	65.17	57.87	42.13
Kowala	70.20	73.79	26.21
Tłuszcz	71.67	68.73	31.27
Tarnów Opolski	55.90	41.27	58.73
Nisko	61.85	69.28	30.72
Strzyżów	63.29	72.38	27.62
Rajgród	59.05	58.89	41.11
Bobrowniki	68.82	43.16	56.84
Boronów	63.31	60.10	39.90
Zbrosławice	59.83	46.44	53.56
Tuczępy	63.68	77.95	22.05
Piekoszów	69.78	73.12	26.88
Nowiny	71.15	55.76	44.24
Płoskinia	50.59	54.00	46.00
Krzyż Wielkopolski	61.52	45.24	54.76
Łubowo	70.52	48.22	51.78
Wielichowo	66.77	59.02	40.98
Maszewo	57.91	53.85	46.15
Dobrzany	56.01	58.43	41.57
Węgorzyno	56.80	52.79	47.21
Pęcław	60.53	74.55	25.45
Kąty Wrocławskie	73.70	43.08	56.92
Ciepłowody	65.61	61.97	38.03
Zbiczno	71.62	50.14	49.86
Cekcyn	66.35	58.04	41.96
Konstantynów	62.90	71.77	28.23
Rejowiec	55.79	71.90	28.10
Lubartów	70.51	57.20	42.80
Krzeszowice	70.41	55.25	44.75
Pleśna	67.26	75.72	24.28
Mińsk Mazowiecki	74.56	48.85	51.15
Halinów	75.16	53.94	46.06
Paprotnia	73.74	87.50	12.50
Wyszków	69.71	61.63	38.37
Leżajsk	65.11	64.75	35.25
Wielopole Skrzyńskie	69.96	87.07	12.93
Rzeszów	69.94	50.32	49.68
Szczuczyn	65.05	73.73	26.27
Nurzec-Stacja	49.60	56.02	43.98
Sztum	60.42	41.35	58.65
Chybie	69.41	61.89	38.11
Kruszyna	67.37	65.69	34.31
Mstów	70.04	62.65	37.35
Pawłowice	71.09	67.46	32.54
Kluczewsko	70.37	79.14	20.86
Łukta	59.73	40.68	59.32
Mieleszyn	63.02	60.48	39.52
Żarów	61.40	51.81	48.19
Boguszów-Gorce	56.35	40.78	59.22
Koneck	61.30	68.24	31.76
Godziszów	79.30	95.24	4.76
Jastków	72.53	64.51	35.49
Spiczyn	62.41	68.60	31.40
Stanin	69.43	84.21	15.79
Chodel	64.52	82.76	17.24
Bedlno	64.81	75.18	24.82
Łowicz	70.15	53.22	46.78
Sieradz	70.08	68.74	31.26
Lubochnia	74.18	76.13	23.87
Rzepiennik Strzyżewski	71.27	85.12	14.88
Glinojeck	64.06	70.11	29.89
Lipsko	64.28	66.99	33.01
Obryte	74.32	75.96	24.04
Mordy	68.88	77.80	22.20
Rościszewo	66.89	81.33	18.67
Lasowice Wielkie	45.58	49.23	50.77
Brańsk	71.01	90.07	9.93
Grajewo	57.53	75.89	24.11
Wizna	63.65	83.32	16.68
Szudziałowo	54.07	65.39	34.61
Reda	71.78	34.88	65.12
Gniewino	60.61	50.10	49.90
Kobiór	73.24	58.74	41.26
Jeleśnia	70.98	70.20	29.80
Tychy	70.33	45.65	54.35
Ryczywół	64.14	51.38	48.62
Rokietnica	79.44	27.40	72.60
Brojce	54.93	58.52	41.48
Karnice	71.82	48.27	51.73
Gryfino	68.15	45.96	54.04
Tereszpol	62.67	74.96	25.04
Borzechów	70.14	84.04	15.96
Wielgomłyny	65.28	78.98	21.02
Skomlin	66.21	66.49	33.51
Łapanów	70.99	77.15	22.85
Skała	72.78	64.22	35.78
Jordanów	66.97	80.91	19.09
Wieliszew	77.25	45.19	54.81
Szreńsk	65.19	79.19	20.81
Piastów	76.96	45.23	54.77
Rybno	69.20	75.88	24.12
Szydłowiec	65.79	70.17	29.83
Głogówek	55.41	54.15	45.85
Cmolas	65.26	84.88	15.12
Lubenia	72.36	79.48	20.52
Nowa Dęba	62.49	70.63	29.37
Kolno	57.48	66.33	33.67
Sidra	56.96	75.24	24.76
Koczała	58.66	41.25	58.75
Kosakowo	79.55	30.71	69.29
Bojszowy	73.34	67.11	32.89
Wąchock	66.61	61.43	38.57
Radków	65.39	71.10	28.90
Bojanowo	59.02	49.35	50.65
Papowo Biskupie	56.08	60.41	39.59
Kikół	57.58	63.77	36.23
Osięciny	60.83	65.99	34.01
Biłgoraj	66.32	59.93	40.07
Łuków	70.69	62.89	37.11
Łabunie	65.82	81.31	18.69
Koluszki	71.94	55.44	44.56
Konstantynów Łódzki	71.19	43.80	56.20
Pabianice	77.07	52.40	47.60
Gnojnik	68.75	82.62	17.38
Czorsztyn	69.50	62.39	37.61
Tomice	69.16	63.38	36.62
Garwolin	75.16	60.67	39.33
Konstancin-Jeziorna	75.89	43.48	56.52
Węgrów	68.93	54.58	45.42
Ząbki	74.83	45.57	54.43
Mielec	67.18	60.13	39.87
Przemyśl	64.59	68.54	31.46
Łapy	66.98	74.00	26.00
Supraśl	72.57	43.40	56.60
Raczki	63.61	70.88	29.12
Wiżajny	67.57	66.44	33.56
Pyskowice	59.94	44.77	55.23
Chmielnik	66.34	74.19	25.81
Kunów	62.63	66.13	33.87
Lubasz	67.25	46.30	53.70
Opatówek	71.17	63.06	36.94
Perzów	62.97	53.81	46.19
Duszniki	67.74	52.68	47.32
Przykona	67.10	75.40	24.60
Turek	67.55	66.10	33.90
Lipka	55.27	52.23	47.77
Wierzchowo	61.86	51.52	48.48
Mirsk	58.63	49.14	50.86
Wąpielsk	57.37	66.38	33.62
Janowiec Wielkopolski	62.93	54.94	45.06
Serniki	68.71	81.36	18.64
Brzesko	66.15	65.24	34.76
Myślenice	73.71	63.68	36.32
Zembrzyce	71.07	66.71	33.29
Szerzyny	67.15	84.75	15.25
Szczawin Kościelny	65.16	75.45	24.55
Nasielsk	67.85	65.64	34.36
Zakrzew	75.29	77.35	22.65
Wierzbno	72.85	79.89	20.11
Zębowice	46.67	52.91	47.09
Augustów	65.65	53.74	46.26
Przytuły	63.96	91.18	8.82
Białystok	68.80	47.80	52.20
Bestwina	72.32	50.83	49.17
Janów	69.09	65.94	34.06
Wręczyca Wielka	65.20	54.83	45.17
Lipowa	69.12	58.11	41.89
Górno	72.83	75.28	24.72
Kowale Oleckie	47.66	61.61	38.39
Zduny	62.24	55.69	44.31
Stare Czarnowo	64.34	56.26	43.74
Sławno	55.67	55.36	44.64
Wąsosz	59.40	57.56	42.44
Zagrodno	62.45	67.20	32.80
Księżpol	68.44	81.93	18.07
Puławy	68.97	52.44	47.56
Czerwieńsk	64.02	40.40	59.60
Krzyżanów	65.81	72.75	27.25
Nowa Brzeźnica	68.23	68.70	31.30
Tomaszów Mazowiecki	73.88	63.79	36.21
Zielonki	77.31	43.56	56.44
Bukowno	66.91	49.85	50.15
Chynów	70.15	64.91	35.09
Chotcza	62.39	78.03	21.97
Troszyn	69.05	81.51	18.49
Strachówka	66.97	75.28	24.72
Krempna	58.57	70.84	29.16
Miejsce Piastowe	68.39	71.09	28.91
Rakszawa	72.70	83.90	16.10
Świlcza	69.92	72.33	27.67
Nowogród	64.48	72.82	27.18
Sadlinki	58.62	61.28	38.72
Żarki	67.02	61.64	38.36
Chełm Śląski	69.52	60.76	39.24
Bodzentyn	65.95	72.55	27.45
Gostyń	66.38	51.01	48.99
Doruchów	64.95	65.40	34.60
Pełczyce	54.39	56.00	44.00
Chełmno	56.40	51.65	48.35
Leśna Podlaska	64.84	76.97	23.03
Wilków	67.16	81.52	18.48
Strzelce	66.37	74.86	25.14
Pątnów	70.31	74.64	25.36
Oświęcim	73.08	54.34	45.66
Radłów	62.17	75.48	24.52
Promna	70.82	74.35	25.65
Pilawa	71.92	74.50	25.50
Mogielnica	69.42	74.84	25.16
Kozienice	70.49	62.51	37.49
Mińsk Mazowiecki	72.75	61.94	38.06
Boguty-Pianki	77.50	87.48	12.52
Zaręby Kościelne	68.02	83.60	16.40
Kołbiel	74.20	72.12	27.88
Prażmów	74.60	49.21	50.79
Wieniawa	69.29	82.66	17.34
Stare Babice	79.38	42.25	57.75
Lewin Brzeski	60.52	55.80	44.20
Zabłudów	62.50	61.18	38.82
Brańsk	67.69	83.21	16.79
Orla	55.02	39.65	60.35
Turośl	62.18	78.97	21.03
Jasionówka	58.53	75.35	24.65
Żukowo	74.85	39.85	60.15
Rudziniec	59.24	51.61	48.39
Panki	68.54	57.22	42.78
Zagnańsk	71.75	62.89	37.11
Słupia Konecka	66.65	78.71	21.29
Opatów	63.66	67.20	32.80
Kotlin	64.25	64.18	35.82
Krzemieniewo	64.65	58.67	41.33
Gołuchów	68.56	59.97	40.03
Lewin Kłodzki	63.15	45.71	54.29
Sobótka	65.86	50.95	49.05
Bełchatów	73.95	72.49	27.51
Rozprza	69.19	76.04	23.96
Garbatka-Letnisko	71.43	66.36	33.64
Mirów	65.65	87.57	12.43
Augustów	57.25	74.96	25.04
Zambrów	60.72	64.15	35.85
Nowa Wieś Lęborska	63.30	47.42	52.58
Hażlach	69.13	51.72	48.28
Poniec	59.44	62.54	37.46
Wierzbinek	65.83	84.11	15.89
Kościan	67.31	51.01	48.99
Rozdrażew	66.84	73.24	26.76
Legnickie Pole	69.53	59.94	40.06
Brzeg Dolny	65.78	46.75	53.25
Zgorzelec	62.85	51.05	48.95
Lisewo	60.58	59.79	40.21
Terespol	66.38	57.58	42.42
Tarnogród	66.55	77.44	22.56
Wólka	71.29	62.24	37.76
Rybczewice	61.36	82.79	17.21
Bełżec	60.74	71.80	28.20
Włodawa	63.29	50.22	49.78
Szczaniec	60.56	52.11	47.89
Wodzierady	77.75	58.52	41.48
Sulejów	69.35	65.14	34.86
Grudusk	67.89	79.20	20.80
Łaskarzew	74.35	70.69	29.31
Prószków	56.10	42.60	57.40
Mały Płock	60.47	82.48	17.52
Nowy Dwór	60.67	78.18	21.82
Puck	70.27	53.18	46.82
Czechowice-Dziedzice	71.24	48.11	51.89
Milejewo	60.06	52.33	47.67
Szczytniki	69.68	78.17	21.83
Gizałki	68.14	74.54	25.46
Świedziebnia	60.19	69.82	30.18
Rogowo	66.64	57.60	42.40
Lubartów	69.10	69.03	30.97
Podkowa Leśna	82.53	31.97	68.03
Policzna	65.61	76.15	23.85
Wesoła	81.94	35.88	64.12
Polska Cerekiew	49.77	46.56	53.44
Kołczygłowy	56.85	53.44	46.56
Gardeja	54.47	63.90	36.10
Luzino	69.41	61.30	38.70
Wilkowice	71.89	45.31	54.69
Blachownia	64.43	46.32	53.68
Starcza	72.78	56.47	43.53
Opatów	66.26	59.78	40.22
Kozłowo	54.42	68.16	31.84
Barczewo	63.24	40.97	59.03
Kłodawa	63.49	67.79	32.21
Skulsk	62.35	71.87	28.13
Czermin	69.02	69.45	30.55
Dobra	52.64	57.14	42.86
Niechlów	59.97	69.97	30.03
Bolków	58.91	52.73	47.27
Kraśnik	64.73	61.42	38.58
Głusk	73.38	59.36	40.64
Niedrzwica Duża	69.11	71.28	28.72
Nałęczów	72.25	63.85	36.15
Trzciana	78.28	80.90	19.10
Moszczenica	66.25	82.77	17.23
Gołcza	70.99	73.94	26.06
Bolesław	64.17	51.39	48.61
Sarnaki	68.84	68.66	31.34
Jastrząb	67.06	79.26	20.74
Wiskitki	67.51	67.89	32.11
Branice	59.92	62.54	37.46
Cisek	49.47	50.30	49.70
Pakosławice	66.91	64.86	35.14
Lubaczów	63.16	58.77	41.23
Człuchów	57.83	52.77	47.23
Rumia	73.92	35.56	64.44
Porąbka	71.05	59.10	40.90
Kalety	60.94	54.52	45.48
Żywiec	69.31	51.00	49.00
Skarżysko Kościelne	66.25	66.07	33.93
Kolno	53.61	57.51	42.49
Czerniejewo	66.99	55.23	44.77
Zbąszyń	71.03	39.68	60.32
Środa Wielkopolska	68.85	45.48	54.52
Nowogard	60.91	43.79	56.21
Jabłonowo Pomorskie	57.82	61.60	38.40
Dąbrowa Biskupia	57.87	60.04	39.96
Kraśnik	64.41	75.49	24.51
Radzyń Podlaski	65.09	62.14	37.86
Rusiec	73.93	74.20	25.80
Nowosolna	79.87	39.98	60.02
Jeżów	73.78	73.50	26.50
Bochnia	71.12	72.34	27.66
Koszyce	58.24	76.23	23.77
Józefów	78.96	42.46	57.54
Brudzeń Duży	64.17	74.42	25.58
Raciąż	66.75	63.27	36.73
Izbicko	53.27	42.46	57.54
Leśnica	56.10	51.41	48.59
Jaśliska	70.79	76.47	23.53
Narol	60.35	77.40	22.60
Markowa	71.58	83.16	16.84
Tworóg	62.72	55.21	44.79
Rajcza	67.85	66.59	33.41
Wojciechowice	60.70	71.07	28.93
Kobyla Góra	67.00	49.95	50.05
Białośliwie	64.93	54.73	45.27
Śliwice	69.80	59.71	40.29
Gąsawa	64.65	57.94	42.06
Włodawa	69.22	55.10	44.90
Wielka Wieś	78.21	50.53	49.47
Zabierzów	77.05	48.36	51.64
Sulejówek	76.41	49.04	50.96
Przysucha	68.98	71.07	28.93
Gozdowo	61.65	73.19	26.81
Repki	71.98	80.34	19.66
Zielonka	76.94	48.63	51.37
Kolbuszowa	63.91	73.57	26.43
Przywidz	66.28	47.69	52.31
Jasienica	73.11	51.43	48.57
Lelów	69.80	73.15	26.85
Gronowo Elbląskie	56.58	48.52	51.48
Połajewo	66.58	57.65	42.35
Leśna	58.77	50.37	49.63
Żórawina	72.44	43.68	56.32
Dorohusk	60.91	75.35	24.65
Sawin	58.99	72.87	27.13
