Gmina	Frekwencja	Andrzej Sebastian DUDA	Rafał Kazimierz TRZASKOWSKI
Więcbork	60.93	53.36	46.64
Milanów	61.35	73.92	26.08
Kąkolewnica	67.07	84.96	15.04
Łaszczów	61.99	76.98	23.02
Dobre	70.40	70.70	29.30
Krasiczyn	64.55	66.58	33.42
Grabowo	61.14	81.08	18.92
Mirzec	67.83	74.03	25.97
Kiwity	55.97	57.72	42.28
Jutrosin	61.09	64.83	35.17
Resko	56.24	48.30	51.70
Milicz	64.22	52.60	47.40
Biszcza	64.13	82.15	17.85
Borki	61.42	78.95	21.05
Bytom Odrzański	59.69	44.61	55.39
Żary	64.01	38.61	61.39
Pęczniew	69.41	66.10	33.90
Czarnożyły	68.10	69.37	30.63
Kamionka Wielka	74.20	83.03	16.97
Gołymin-Ośrodek	65.59	80.76	19.24
Domaradz	68.46	87.64	12.36
Gawłuszowice	67.06	83.92	16.08
Ostrów	67.90	83.89	16.11
Bielsk Podlaski	61.83	43.37	56.63
Dębnica Kaszubska	56.28	50.01	49.99
Pasłęk	58.14	45.96	54.04
Miłomłyn	60.36	42.71	57.29
Budzyń	63.53	44.24	55.76
Kołobrzeg	72.85	36.85	63.15
Ustronie Morskie	80.87	38.60	61.40
Grzmiąca	52.72	52.79	47.21
Polanica-Zdrój	69.00	40.84	59.16
Świerzawa	60.03	49.62	50.38
Grabów	63.37	80.62	19.38
Piwniczna-Zdrój	68.89	74.07	25.93
Mokobody	71.90	84.81	15.19
Żuromin	66.58	57.23	42.77
Byczyna	58.32	57.67	42.33
Kamiennik	59.11	71.90	28.10
Skoroszyce	59.63	66.41	33.59
Czersk	64.66	63.40	36.60
Sulęczyno	77.11	58.16	41.84
Malbork	65.80	37.66	62.34
Działdowo	64.52	49.01	50.99
Świętajno	64.66	52.61	47.39
Kępno	67.73	47.28	52.72
Kraszewice	64.44	61.16	38.84
Ostrowite	64.26	66.87	33.13
Złotów	57.90	50.72	49.28
Marianowo	60.97	62.40	37.60
Lubań	62.86	41.79	58.21
Wiązów	63.15	68.15	31.85
